,Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
315,2019,2,Chaco,690,1383,38488,26431,16789,15348,9904,1492.0,109904
316,2019,2,Chubut,660,3952,69032,10049,1495,740,165,45.0,89333
317,2019,2,Córdoba,810,8165,248427,100512,157458,170159,76053,8938.0,769793
318,2019,2,Corrientes,100,3012,40424,27774,13114,11928,7119,608.0,109461
319,2019,2,Entre Ríos,180,5905,100687,52316,23196,24221,10664,17206.0,234213
320,2019,2,Formosa,111,3490,26512,5399,8384,2639,2258,1000.0,46751
321,2019,2,Jujuy,270,9400,26233,8441,267,270,2600,21765.0,86733
322,2019,2,La Pampa,2360,3289,75406,5191,1366,1445,629,2661.0,90223
323,2019,2,La Rioja,90,110,39819,4297,4857,130,1298,,50304
324,2019,2,Mendoza,200,2522,205165,2971,10092,1256,234,,222260
325,2019,2,Misiones,470,2226,45769,27385,15408,18882,8129,12206.0,130052
